native_pipe_id,asset_id,break_date,break_type,result,source,rminfo,wo_dateinc
WM11161-C,66,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20090210.0
WM05369-A,67,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20141005.0
WM09994-A,68,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20211203.0
WM12065-A,69,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20141012.0
WM00118-A,70,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20051128.0
WM06341-C,71,2022,JOINT FAILURE,Resolved,RECORD,1,20060711.0
WM13684-C,72,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20060414.0
WM13349-A,73,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20020921.0
WM08306-C,74,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20060912.0
WM13102-A,75,2022,"PINHOLE >1""",Resolved,RECORD,1,20120408.0
WM10497-A,76,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20200428.0
WM02247-A,77,2022,"PINHOLE >1""",Resolved,RECORD,1,20080502.0
WM11921-C,78,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20010214.0
WM05112-C,79,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20030412.0
WM10952-C,80,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20110103.0
WM03160-C,81,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20101011.0
WM08341-A,82,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20090227.0
WM09985-A,83,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM07828-C,84,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20051119.0
WM02416-C,85,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20040803.0
WM11666-C,86,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20060817.0
WM13320-A,87,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20040118.0
WM10531-A,88,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,
WM02170-C,89,2022,JOINT FAILURE,Resolved,WORKORDER,0,20010420.0
WM11288-C,90,2022,"PINHOLE >1""",Resolved,RECORD,1,20140220.0
WM09505-C,91,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20050420.0
WM10914-A,92,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20011205.0
WM08326-A,93,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20101022.0
